,name,discount_price,original_price,exchange_upto,rating,review_count
0,"Infinix HOT 12 Play (Horizon Blue, 64 GB)","₹8,199","₹11,999",,4.3,"60,875 Ratings & 5,026 Reviews"
1,"Infinix HOT 12 Play (Racing Black, 64 GB)","₹8,199","₹11,999","Upto ₹7,650 Off on Exchange",4.3,"60,875 Ratings & 5,026 Reviews"
2,"Infinix HOT 12 Play (Champagne Gold, 64 GB)","₹8,199","₹11,999","Upto ₹7,650 Off on Exchange",4.3,"60,875 Ratings & 5,026 Reviews"
3,CELLECOR E5,"₹1,319","₹1,349",,,
4,"Infinix HOT 12 Play (Daylight Green, 64 GB)","₹8,199","₹11,999",,4.3,"60,875 Ratings & 5,026 Reviews"
5,"REDMI 9i Sport (Metallic Blue, 64 GB)","₹7,999","₹9,999",,4.4,"1,42,635 Ratings & 8,183 Reviews"
6,"REDMI 9i Sport (Coral Green, 64 GB)","₹7,999","₹9,999","Upto ₹7,400 Off on Exchange",4.4,"1,42,635 Ratings & 8,183 Reviews"
7,CELLECOR E3,"₹1,179","₹1,599",,,
8,"REDMI 9i Sport (Carbon Black, 64 GB)","₹7,999","₹9,999","Upto ₹7,400 Off on Exchange",4.4,"1,42,635 Ratings & 8,183 Reviews"
9,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹13,499","₹23,999","Upto ₹12,950 Off on Exchange",4.2,"44,132 Ratings & 4,448 Reviews"
10,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹13,499","₹23,999","Upto ₹12,950 Off on Exchange",4.2,"44,132 Ratings & 4,448 Reviews"
11,CELLECOR E1,"₹1,229","₹1,499",,,
12,"OPPO K10 (Blue Flame, 128 GB)","₹13,490","₹18,999","Upto ₹12,950 Off on Exchange",4.4,"54,692 Ratings & 4,343 Reviews"
13,"OPPO K10 (Black Carbon, 128 GB)","₹13,490","₹18,999","Upto ₹12,950 Off on Exchange",4.4,"54,692 Ratings & 4,343 Reviews"
14,"Infinix Smart 6 HD (Aqua Sky, 32 GB)","₹6,199","₹8,999",,4.6,854 Ratings & 27 Reviews
15,"Infinix Smart 6 HD (Origin Blue, 32 GB)","₹6,199","₹8,999",,4.6,854 Ratings & 27 Reviews
16,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹13,499","₹23,999","Upto ₹12,950 Off on Exchange",4.2,"44,132 Ratings & 4,448 Reviews"
17,"realme C31 (Light Silver, 32 GB)","₹8,299","₹10,999",Bank Offer,4.6,"34,067 Ratings & 1,250 Reviews"
18,"realme C31 (Dark Green, 32 GB)","₹8,299","₹10,999",Bank Offer,4.6,"34,067 Ratings & 1,250 Reviews"
19,"realme C31 (Dark Green, 64 GB)","₹9,499","₹11,999",Bank Offer,4.4,"31,706 Ratings & 1,640 Reviews"
20,"SAMSUNG Galaxy S21 FE 5G (Olive, 128 GB)","₹34,999","₹74,999","Upto ₹20,000 Off on Exchange",4,162 Ratings & 23 Reviews
21,"realme 9 (Stargaze White, 128 GB)","₹14,499","₹20,999","Upto ₹13,100 Off on Exchange",4.4,"22,611 Ratings & 1,559 Reviews"
22,"realme 9 (Sunburst Gold, 128 GB)","₹14,499","₹20,999","Upto ₹13,100 Off on Exchange",4.4,"22,611 Ratings & 1,559 Reviews"
23,"Infinix Smart 6 (Light Sea Green, 64 GB)","₹6,499","₹8,999",,4.3,"12,368 Ratings & 883 Reviews"
